"thing_name","timestamp","gateState","lastSpeedDetected","speedLimit","vehiclePassed"
"RompeMuellesIoT","1750840367802","open","98","20","null"
"RompeMuellesIoT","1750840371163","open","38","20","null"
"RompeMuellesIoT","1750840373428","open","44","20","null"
"RompeMuellesIoT","1750840512796","close","97","20","null"
"RompeMuellesIoT","1750840524161","open","23","20","null"
"RompeMuellesIoT","1750840527488","open","40","20","null"
"RompeMuellesIoT","1750840529985","open","48","20","null"
"RompeMuellesIoT","1750840927687","close","70","20","null"
"RompeMuellesIoT","1750840948105","open","54","20","null"
"RompeMuellesIoT","1750840980527","close","28","20","null"
"RompeMuellesIoT","1750840995532","open","54","20","null"
"RompeMuellesIoT","1750841701755","close","52","20","null"
"RompeMuellesIoT","1750841730543","close","54","20","null"
"RompeMuellesIoT","1750841740665","open","46","20","null"
"RompeMuellesIoT","1750842397627","close","27","20","null"
"RompeMuellesIoT","1750842421799","open","70","20","null"
"RompeMuellesIoT","1750844572533","close","21","20","null"
"RompeMuellesIoT","1750844587996","open","38","20","null"
"RompeMuellesIoT","1750844623940","close","97","20","null"
"RompeMuellesIoT","1750844638081","open","33","20","null"
"RompeMuellesIoT","1750846354726","close","97","20","null"
"RompeMuellesIoT","1750846372046","close","54","20","null"
"RompeMuellesIoT","1750846378915","close","158","20","null"
"RompeMuellesIoT","1750866015861","close","69","20","null"
"RompeMuellesIoT","1750866023637","close","79","20","null"
